n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
84 429257110 427749297 429437630 429519900 429515008 429471601 429376048 429404097 429470362 429448806 429450620 429450113 429437557 429471513 429392526 429383438 429351856 429380239 429445436 429381418 429503134 429460142 429412316 429443586 429435178 429430070 429480893 429426529 429457748 429414651 429320196 429401138 
85 429293373 427796133 429523400 429489101 429486011 429392396 429409326 429479511 429415793 429408438 429407852 429443735 429483397 429415111 429477423 429402492 429428701 429465463 429467015 429398809 429399085 429417693 429459686 429462557 429409064 429502763 429422029 429474507 429439501 429449963 429581801 429452306 
86 429249375 427749117 429393461 429449859 429356660 429423944 429447862 429442155 429480040 429439668 429420574 429483347 429389502 429492621 429419152 429407503 429443598 429433560 429444501 429448021 429442957 429428860 429455293 429397784 429429204 429393081 429445476 429452295 429436471 429452218 429362612 429463993 
87 429308843 427774356 429415988 429429339 429424099 429413053 429388215 429414039 429389605 429487277 429414567 429411527 429441061 429450799 429423259 429420879 429456067 429405021 429479361 429438165 429459197 429497014 429448916 429434420 429396668 429438206 429459344 429490545 429430213 429413986 429547253 429351866 
88 429280626 427750103 429499350 429483790 429361754 429433751 429489679 429432210 429469694 429418162 429481100 429451339 429430686 429417631 429461360 429410568 429460431 429466588 429545886 429458341 429450613 429451853 429429207 429474735 429382190 429439501 429481177 429451034 429493927 429475103 429391117 429443196 
89 429307213 427863823 429445441 429438740 429416916 429447778 429462405 429476679 429399157 429462529 429463443 429421056 429415705 429398574 429401357 429376279 429389634 429445036 429455911 429457825 429464265 429399826 429411026 429406159 429509741 429421676 429447500 429437254 429494701 429484860 429594914 429346625 
90 429285482 427744675 429473736 429447069 429484846 429395593 429476799 429472036 429446893 429412319 429435955 429448315 429493542 429450654 429497759 429329184 429466346 429446098 429466886 429472289 429453427 429452615 429512386 429444699 429428621 429429005 429508193 429424832 429445935 429482178 429386533 429425280 
91 429336374 427794119 429432331 429522010 429499855 429485897 429452532 429456061 429456135 429436257 429435799 429480961 429470853 429453058 429389366 429401564 429439127 429487055 429475319 429489077 429437620 429483619 429422090 429493184 429459490 429458163 429458287 429483824 429474664 429431552 429536279 429378175 
92 429371403 427812834 429438194 429454950 429508047 429438871 429447402 429455175 429503956 429464498 429472332 429512037 429513482 429498360 429501491 429398773 429465672 429438136 429511265 429480455 429453778 429462851 429497469 429500101 429434868 429409540 429482555 429455024 429475981 429462036 429382395 429444458 
93 429392653 427820072 429510942 429478633 429557001 429497175 429456398 429425356 429475235 429455557 429467091 429509086 429533527 429411511 429474872 429426539 429445748 429525858 429504739 429501391 429477749 429448472 429466618 429506628 429460917 429416540 429516421 429450065 429440425 429466191 429536420 429373064 
94 429363005 427833233 429450763 429483513 429481409 429518421 429411735 429514661 429413952 429436123 429490238 429429644 429425564 429504828 429497359 429446170 429455963 429451353 429477004 429417453 429476054 429437937 429480688 429493302 429423167 429436044 429471976 429474104 429537571 429432005 429407937 429460394 
95 429331952 427816041 429472383 429479953 429487909 429461208 429487102 429434684 429466750 429482254 429437083 429492547 429501197 429459665 429469563 429393608 429453083 429433232 429443588 429476508 429467637 429421572 429445874 429488474 429436184 429440328 429479918 429448676 429461832 429430037 429549022 429437011 
96 429438681 427889843 429503296 429438843 429478346 429464773 429484066 429468133 429457339 429521349 429479787 429509491 429455305 429526965 429523724 429388825 429575575 429485174 429555343 429509483 429465304 429458465 429464379 429500733 429499937 429464646 429502181 429493291 429451449 429522086 429405525 429473789 
97 429258458 427985516 429462496 429520111 429417625 429478876 429500305 429467344 429446497 429507394 429482558 429425131 429461228 429491333 429449419 429380206 429438782 429454356 429446546 429478287 429449949 429498282 429501690 429476739 429576069 429491544 429487507 429479742 429467484 429503767 429572070 429379205 
98 429411382 427830180 429427160 429517512 429474951 429515021 429425064 429478476 429459777 429481884 429499635 429488829 429495434 429448427 429536629 429419027 429429102 429454545 429486156 429487606 429488649 429488037 429477189 429510120 429451416 429485528 429513501 429450284 429457906 429423559 429419319 429489100 
99 429517612 427836264 429459247 429490223 429431621 429479666 429455763 429487549 429511278 429459527 429448657 429481683 429497876 429507615 429479771 429407255 429446227 429473923 429437187 429460129 429489341 429460838 429477071 429455304 429505794 429512598 429478845 429514482 429516915 429469399 429588389 429396509 
100 429480421 427838201 429559816 429474182 429481271 429458305 429509134 429479232 429512821 429460610 429458695 429474748 429485191 429509265 429522484 429386186 429486109 429527390 429514151 429500505 429426608 429467221 429474552 429480409 429463751 429485382 429407790 429487000 429478775 429459590 429370953 429495869 
101 429476241 427858646 429480205 429518215 429461025 429510405 429484727 429500795 429478213 429434851 429487671 429514618 429491717 429533985 429487666 429423590 429499622 429515567 429526922 429472824 429476686 429463069 429497370 429525123 429492101 429513399 429488206 429520075 429488364 429463814 429538918 429380108 
102 429445196 427912226 429483180 429512708 429567613 429496125 429483277 429563352 429494169 429469726 429465861 429504566 429531393 429519713 429476732 429410666 429467937 429504817 429501855 429481013 429487573 429465071 429486383 429503702 429483282 429477492 429458855 429489062 429476981 429493957 429405994 429477249 
