n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
61 39015458 38872265 39038685 39032923 39032024 39038789 39028838 39039952 39045850 39025720 39026396 39030742 39024776 39026638 39023143 39025438 39036299 39030842 39042860 39026274 39027539 39038770 39031139 39041582 39048248 39038518 39041608 39026305 39033978 39029889 39046645 39031227 
62 39020750 38876640 39033224 39026643 39031363 39034830 39026501 39025550 39029712 39033856 39041482 39028263 39037739 39036101 39032837 39030708 39034196 39029182 39033769 39026626 39029130 39036902 39038094 39029552 39039011 39022096 39030626 39040495 39039753 39018786 39023461 39033062 
63 39009524 38872567 39034544 39029263 39036504 39030755 39030095 39031180 39037916 39035237 39027561 39040282 39038274 39035215 39029798 39025991 39036227 39033616 39037946 39029451 39046852 39042302 39018543 39029892 39037852 39037955 39031169 39030731 39050558 39039959 39038855 39035439 
64 39024507 38868060 39031141 39025708 39035756 39027296 39043602 39037739 39033563 39042333 39036840 39030250 39036591 39042265 39024317 39036363 39040580 39043603 39036245 39040910 39021241 39041512 39040334 39045263 39037461 39039204 39039673 39035704 39029241 39034900 39026230 39029114 
65 39000459 38877938 39038476 39025496 39041412 39040662 39024619 39026901 39037411 39029309 39040124 39042050 39035870 39045266 39040879 39039518 39040587 39036201 39036086 39033289 39031329 39030039 39030223 39038474 39037008 39042277 39043419 39042720 39036941 39034572 39040013 39035116 
66 39018978 38864054 39028490 39043321 39039500 39032123 39037548 39040968 39038322 39027034 39037418 39025515 39035497 39036481 39035742 39030353 39028830 39033781 39032904 39027242 39036610 39036179 39023183 39026343 39034763 39039439 39028307 39040406 39038157 39045578 39035772 39032885 
67 39015394 38874494 39036001 39045360 39040831 39035984 39022826 39041193 39047761 39039088 39022540 39025156 39035000 39019536 39036969 39029020 39048593 39027121 39024286 39041515 39022142 39039860 39034345 39035932 39036208 39039392 39031733 39025213 39038361 39023181 39034294 39028798 
68 39017929 38868445 39034226 39046622 39049339 39045789 39040960 39032564 39029705 39036338 39031737 39038703 39039484 39035084 39045146 39021943 39036341 39035340 39031749 39030939 39040009 39024087 39030658 39029854 39028969 39037513 39036111 39041287 39038700 39029390 39024942 39022914 
69 39008890 38877451 39038182 39030472 39038044 39032604 39034785 39036338 39046865 39030889 39042503 39037070 39023600 39031147 39039082 39014042 39035063 39034652 39041687 39026689 39033439 39041119 39041280 39034289 39029739 39032506 39037815 39039966 39040152 39032001 39050763 39034433 
70 39019607 38882049 39038579 39028289 39030165 39033498 39042956 39041512 39041116 39032617 39043846 39039641 39037603 39028971 39042028 39029199 39032167 39042426 39033483 39040407 39029157 39042340 39038249 39037744 39025939 39041637 39029399 39030937 39050108 39036993 39028500 39040520 
71 39011040 38881696 39038391 39033556 39032022 39026899 39033481 39040203 39027197 39039528 39036837 39042555 39033967 39042173 39028363 39041337 39031589 39036764 39025669 39035621 39038458 39039918 39041933 39038302 39036064 39042435 39040570 39034663 39029577 39039199 39036266 39033195 
72 39021366 38883432 39027873 39043886 39044463 39042205 39046175 39047575 39022491 39026607 39031847 39036605 39030251 39034994 39039802 39036606 39042016 39036971 39028189 39037278 39043993 39033546 39037569 39036986 39034467 39033959 39035629 39034186 39037209 39042576 39038045 39034953 
73 39013246 38887780 39030167 39022870 39033294 39037688 39030374 39046868 39036552 39038422 39037270 39030201 39033966 39031456 39040913 39036570 39040348 39052413 39030538 39039875 39035658 39028532 39036875 39038090 39036552 39032221 39038073 39039246 39026354 39042397 39045241 39025404 
74 39016824 38880220 39040597 39032556 39041649 39032462 39032426 39016947 39041722 39026785 39037494 39037446 39035171 39037390 39036753 39021721 39045604 39040743 39051209 39035000 39045544 39042663 39030849 39032867 39044953 39029931 39037511 39037110 39025417 39030633 39029519 39042027 
75 39016784 38875876 39035458 39035991 39035096 39036459 39036499 39040703 39030434 39042627 39042027 39041612 39041948 39050421 39031903 39024861 39044443 39035041 39047249 39040750 39028136 39029111 39041879 39039275 39035242 39042927 39033488 39043229 39047180 39041019 39045349 39035929 
76 39021921 38881604 39044483 39043190 39037222 39040399 39030053 39030859 39050853 39032940 39039839 39040054 39032065 39037783 39040460 39043562 39039059 39044557 39037763 39026645 39031430 39045368 39034806 39038239 39042778 39048826 39035862 39024543 39039841 39036532 39025016 39034251 
77 39011367 38877976 39039991 39032142 39042380 39041121 39037763 39035843 39038931 39040711 39027805 39040712 39038214 39043987 39029879 39041283 39034104 39043518 39032932 39035993 39033575 39039993 39037432 39040209 39040449 39031586 39040283 39048941 39043238 39031725 39044235 39044135 
78 39018853 38883766 39040168 39040172 39025326 39024467 39038307 39041192 39034027 39033841 39036526 39034324 39046272 39045833 39037753 39023548 39020081 39038287 39032415 39044596 39038422 39041376 39034615 39041773 39038615 39038120 39043892 39036207 39038957 39040300 39031754 39036018 
79 39007145 38873557 39041529 39048373 39039427 39042757 39037935 39035150 39036844 39028061 39041145 39037442 39034470 39044054 39033637 39031689 39045989 39028715 39045715 39042830 39041606 39033493 39046156 39033725 39026630 39037424 39045204 39047951 39049842 39035875 39054448 39017710 
80 39028364 38882254 39043167 39043508 39034371 39046854 39042230 39046789 39028313 39050051 39042708 39046290 39033411 39045542 39025503 39032261 39049151 39036664 39036184 39042456 39038425 39035478 39034010 39034284 39041064 39040318 39046700 39038377 39038422 39045483 39031229 39039060 
81 39009748 38896079 39044913 39042559 39024605 39037088 39040550 39024829 39041639 39037642 39038359 39039950 39035729 39037477 39036350 39037778 39038932 39049593 39031690 39027760 39041636 39039404 39042482 39045695 39052361 39043582 39036958 39042310 39042357 39033563 39040768 39022627 
82 39017699 38895753 39041320 39031433 39043492 39049606 39030098 39042184 39038097 39045371 39030044 39047962 39044359 39037719 39033327 39036918 39038890 39031139 39028110 39051204 39039999 39037227 39033489 39032087 39030366 39031763 39036150 39032127 39039537 39050327 39032745 39041709 
83 39025901 38889486 39033475 39022130 39036948 39036989 39030823 39032949 39033147 39047786 39031895 39039281 39045358 39051436 39046169 39038483 39037964 39042834 39043489 39048327 39041072 39038042 39041411 39036565 39040235 39038367 39044402 39038034 39024847 39040505 39059834 39035138 
84 39015767 38883030 39047081 39047286 39044426 39047120 39025525 39042743 39049737 39037232 39039371 39030222 39047407 39040939 39035788 39031900 39027517 39043803 39039649 39038571 39046402 39028931 39045691 39040175 39045581 39045775 39030712 39045965 39038874 39040043 39035758 39033208 
85 39031791 38887537 39049518 39040924 39052304 39034118 39038512 39043106 39032429 39046771 39033467 39046303 39042393 39032938 39046285 39038504 39035547 39055345 39045675 39024917 39036681 39030980 39047066 39044307 39039931 39038937 39024574 39037284 39038437 39042924 39045500 39043467 
86 39019299 38889686 39027544 39040677 39036956 39033863 39036757 39044343 39044774 39029670 39029827 39038753 39035409 39056077 39038491 39032466 39039549 39035172 39050299 39036200 39037426 39044194 39034991 39039332 39038435 39042042 39036486 39051215 39033824 39034313 39029996 39041210 
87 39029661 38890461 39022919 39033791 39040829 39042450 39025374 39041011 39036084 39045979 39046333 39037660 39043515 39032408 39037328 39040509 39038597 39050409 39044811 39036180 39038977 39050025 39049867 39051677 39029489 39047262 39043553 39049530 39031822 39030519 39050459 39029740 
88 39016710 38882314 39045390 39046750 39026761 39026936 39042172 39032556 39040061 39040926 39039758 39048669 39042020 39045445 39051981 39039574 39039962 39047208 39047950 39033118 39040674 39037495 39039343 39038041 39039608 39045666 39049551 39042711 39046231 39051779 39029796 39035977 
89 39025844 38894203 39038067 39036262 39044990 39039966 39042871 39034765 39036772 39038190 39042391 39039737 39034298 39036861 39037368 39028518 39033915 39042487 39046761 39045111 39042658 39036899 39037184 39049733 39040822 39035194 39035881 39046236 39036301 39037895 39057924 39032704 
90 39022318 38879635 39044861 39036154 39048018 39032535 39048272 39041852 39047828 39039140 39032185 39041743 39041015 39041982 39040905 39029965 39044617 39037376 39048045 39049809 39053000 39044892 39043436 39029205 39040902 39036826 39034244 39045322 39044412 39049747 39037093 39043230 
91 39020984 38895592 39042743 39040563 39046755 39044729 39038219 39032716 39042094 39038439 39033848 39043251 39047123 39040670 39041580 39044979 39043425 39046472 39050188 39047822 39034267 39041090 39027127 39042382 39036987 39042995 39043667 39049954 39057385 39039538 39049069 39037283 
92 39038815 38891915 39039538 39046025 39051636 39035037 39036903 39044013 39054623 39048754 39047893 39040211 39043468 39052071 39046236 39035580 39044435 39039013 39041606 39050119 39053462 39044210 39048138 39033790 39039785 39036315 39042130 39032623 39039087 39040720 39039823 39039959 
93 39041706 38891603 39044666 39051544 39047381 39039219 39040436 39045535 39035398 39046235 39034711 39047465 39047991 39030432 39044205 39046258 39039974 39050455 39053893 39040629 39041589 39045257 39038613 39041720 39044604 39044677 39034921 39046510 39046219 39030836 39055808 39017995 
94 39044515 38894909 39035236 39044309 39050317 39045144 39031641 39044573 39035746 39037818 39046614 39035262 39045017 39058708 39051357 39047474 39042488 39050911 39041190 39038647 39049521 39040477 39048924 39051014 39040264 39042024 39056163 39041793 39052763 39032755 39032731 39046193 
95 39030415 38894607 39041816 39045766 39044903 39028216 39045970 39043990 39048616 39043059 39038956 39048932 39049089 39041809 39038657 39040528 39052548 39038335 39038547 39054842 39041284 39039043 39050361 39047855 39046343 39037234 39044707 39044404 39042055 39044342 39048732 39041054 
96 39032674 38896620 39046655 39029477 39048562 39045802 39039328 39044237 39037942 39039423 39042090 39046097 39039220 39043882 39048692 39042924 39051607 39046440 39051660 39045330 39043476 39048964 39037260 39041175 39042133 39044853 39049148 39046529 39042496 39046003 39028474 39042849 
97 39027545 38901087 39040104 39050650 39041166 39050957 39048026 39047502 39042911 39050219 39048538 39037907 39045957 39058670 39038709 39027775 39043774 39040837 39046677 39037007 39039402 39045736 39053677 39038622 39056129 39040171 39043458 39042585 39040683 39045251 39057811 39029447 
98 39040887 38886382 39033483 39048125 39042671 39054406 39038252 39056092 39033747 39047008 39039030 39038962 39050723 39042998 39048865 39033842 39041956 39030550 39050069 39038742 39044790 39056841 39035034 39044832 39048128 39047545 39043915 39049007 39031338 39044009 39029761 39044836 
99 39044089 38897815 39050623 39050479 39041539 39048142 39038682 39039942 39045237 39046101 39049170 39041530 39043299 39047691 39038416 39041109 39039298 39039970 39034265 39046069 39038330 39043266 39043123 39042751 39041185 39050316 39050973 39048916 39059182 39041212 39049926 39029462 
100 39047891 38897473 39055992 39034917 39042946 39041366 39045496 39046219 39049236 39036032 39037017 39038360 39043209 39045346 39046292 39039937 39045940 39043458 39042719 39042899 39036280 39040198 39049311 39055760 39045725 39045645 39039868 39042871 39045127 39038874 39032993 39048979 
101 39042507 38901974 39047649 39048716 39049588 39046413 39049451 39054769 39032576 39039979 39039465 39048699 39039547 39059995 39047757 39028667 39051351 39043332 39049192 39044665 39041049 39038016 39051305 39059557 39041225 39053155 39048229 39058486 39048745 39037296 39049972 39042804 
102 39041327 38903119 39052204 39042525 39056737 39051025 39037244 39053911 39040391 39047459 39043356 39040677 39038116 39050160 39042541 39040209 39040775 39042856 39046125 39047958 39053762 39038003 39047126 39058168 39034921 39034086 39043465 39029881 39053684 39042205 39037924 39036065 
